slug,title,description,difficulty,categories,companyTags,externalPlatformUrl
strongly-connected-components,Strongly Connected Components (Kosaraju),Find all strongly connected components,Hard,"Depth-First Search,Graph","Amazon,Google",https://www.geeksforgeeks.org/strongly-connected-components/
dijkstra-algorithm,Dijkstra's Algorithm,Find shortest path from source using Dijkstra,Medium,"Graph,Shortest Path,Heap","Amazon,Microsoft,Google,Facebook,Uber",https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm-greedy-algo-7/
bellman-ford,Bellman Ford Algorithm,Shortest path with negative weights,Medium,"Dynamic Programming,Graph,Shortest Path","Amazon,Google",https://www.geeksforgeeks.org/bellman-ford-algorithm-dp-23/
floyd-warshall,Floyd Warshall Algorithm,All pairs shortest path,Medium,"Graph,Dynamic Programming,Shortest Path","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/floyd-warshall-algorithm-dp-16/
minimum-spanning-tree,Minimum Spanning Tree (Prim's),Find MST using Prim's algorithm,Medium,"Union Find,Graph,Heap,Minimum Spanning Tree","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/prims-minimum-spanning-tree-mst-greedy-algo-5/
disjoint-set-union,Disjoint Set (Union-Find),Implement DSU data structure,Medium,"Union Find,Graph","Amazon,Microsoft,Google,Facebook",https://www.geeksforgeeks.org/union-find/
kruskals-algorithm,Kruskal's Algorithm,Find MST using Kruskal's algorithm,Medium,"Union Find,Graph,Sorting,Minimum Spanning Tree","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/kruskals-minimum-spanning-tree-algorithm-greedy-algo-2/
bridges-in-graph,Bridges in Graph,Find all bridges/cut-edges in graph,Hard,"Depth-First Search,Graph,Biconnected Component","Amazon,Google,Facebook",https://www.geeksforgeeks.org/bridge-in-a-graph/
articulation-points,Articulation Point,Find all articulation points in graph,Hard,"Depth-First Search,Graph,Biconnected Component","Amazon,Google",https://www.geeksforgeeks.org/articulation-points-or-cut-vertices-in-a-graph/
maximum-product-subarray,Maximum Product Subarray,Find subarray with largest product,Medium,"Array,Dynamic Programming","Amazon,Microsoft,Google,LinkedIn",https://leetcode.com/problems/maximum-product-subarray/
longest-increasing-subsequence,Longest Increasing Subsequence,Find length of LIS,Medium,"Array,Binary Search,Dynamic Programming","Amazon,Microsoft,Google,Facebook,Uber,Adobe",https://leetcode.com/problems/longest-increasing-subsequence/
longest-common-subsequence,Longest Common Subsequence,Find length of LCS between two strings,Medium,"String,Dynamic Programming","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/longest-common-subsequence/
edit-distance,Edit Distance,Minimum operations to convert one string to another,Medium,"String,Dynamic Programming","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/edit-distance/
0-1-knapsack,0-1 Knapsack Problem,Classic 0-1 knapsack problem,Medium,"Array,Dynamic Programming","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/0-1-knapsack-problem-dp-10/
coin-change,Coin Change,Minimum coins needed to make amount,Medium,"Array,Dynamic Programming,Breadth-First Search","Amazon,Microsoft,Google,Facebook,Uber,Apple",https://leetcode.com/problems/coin-change/
rod-cutting-problem,Rod Cutting Problem,Maximum value obtainable by cutting rod,Medium,"Array,Dynamic Programming","Amazon,Microsoft",https://www.geeksforgeeks.org/cutting-a-rod-dp-13/
egg-dropping-puzzle,Egg Dropping Puzzle,Minimum trials in worst case with n eggs and k floors,Hard,"Math,Binary Search,Dynamic Programming","Amazon,Microsoft,Google,Bloomberg",https://leetcode.com/problems/super-egg-drop/
word-break-problem,Word Break,Check if string can be segmented into dictionary words,Medium,"Hash Table,String,Dynamic Programming,Trie,Memoization","Amazon,Microsoft,Google,Facebook,Apple",https://leetcode.com/problems/word-break/
palindrome-partitioning-ii,Palindrome Partitioning II (MCM Variation),Minimum cuts for palindrome partitioning,Hard,"String,Dynamic Programming","Amazon,Google,Bloomberg",https://leetcode.com/problems/palindrome-partitioning-ii/
matrix-chain-multiplication,Matrix Chain Multiplication,Minimum cost to multiply chain of matrices,Hard,"Array,Dynamic Programming","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/matrix-chain-multiplication-dp-8/
maximum-sum-increasing-subsequence,Maximum Sum Increasing Subsequence,Find maximum sum of increasing subsequence,Medium,"Array,Dynamic Programming",Amazon,https://www.geeksforgeeks.org/maximum-sum-increasing-subsequence-dp-14/
partition-equal-subset-sum,Partition Equal Subset Sum,Check if array can be partitioned into two equal sum subsets,Medium,"Array,Dynamic Programming","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/partition-equal-subset-sum/
minimum-path-sum,Minimum Path Sum in Grid,Find path with minimum sum from top-left to bottom-right,Medium,"Array,Dynamic Programming,Matrix","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/minimum-path-sum/
distinct-subsequences,Distinct Subsequences,Count number of distinct subsequences,Hard,"String,Dynamic Programming","Amazon,Google",https://leetcode.com/problems/distinct-subsequences/
implement-trie,Implement Trie (Prefix Tree),Design and implement Trie data structure,Medium,"Hash Table,String,Design,Trie","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/implement-trie-prefix-tree/
implement-trie-ii,Implement Trie II (Count words/prefixes),Trie with word and prefix counting,Medium,"Hash Table,String,Design,Trie","Amazon,Google",https://www.codingninjas.com/studio/problems/implement-trie_1387095
longest-string-with-all-prefixes,Longest String with All Prefixes,Find longest string where all prefixes are also in array,Medium,"Array,String,Trie","Amazon,Google",https://www.codingninjas.com/studio/problems/complete-string_2687860
number-of-distinct-substrings,Number of Distinct Substrings,Count number of distinct substrings using Trie,Hard,"String,Trie,Suffix Array,Hash Function,Rolling Hash","Amazon,Google",https://www.codingninjas.com/studio/problems/count-distinct-substrings_985292
maximum-xor-of-two-numbers,Maximum XOR of Two Numbers,Find maximum XOR of two numbers in array,Medium,"Array,Hash Table,Bit Manipulation,Trie","Amazon,Google,Facebook",https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/
maximum-xor-with-element,Maximum XOR With an Element,Find maximum XOR with queries,Hard,"Array,Bit Manipulation,Trie",Google,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/
word-search-ii,Word Search II,Find all words from dictionary in board using Trie,Hard,"Array,String,Backtracking,Trie,Matrix","Amazon,Microsoft,Google,Facebook,Apple,Airbnb",https://leetcode.com/problems/word-search-ii/
